key,flightNumber,scheduledDeparture,scheduledArrival,duration,status,key:departureAirport,key:arrivalAirport,key:aircraft,key:flight,draftMode
leg-01,IBX1001,2024/09/01 08:00,2024/09/01 10:00,300,ON_TIME,airport-01,airport-02,aircraft-01,flight-01,false
leg-02,LHX1002,2024/09/01 10:30,2024/09/01 12:00,1000,ON_TIME,airport-02,airport-03,aircraft-02,flight-01,false
leg-03,RYX2001,2024/09/02 09:00,2024/09/02 10:30,1,ON_TIME,airport-04,airport-05,aircraft-03,flight-02,true
leg-04,IBX2002,2024/09/02 11:00,2024/09/02 12:30,300,DELAYED,airport-05,airport-06,aircraft-04,flight-02,true
leg-05,IBX3001,2024/09/03 07:00,2024/09/03 08:45,300,ON_TIME,airport-07,airport-08,aircraft-07,flight-03,false
leg-06,LHX3002,2024/09/03 09:15,2024/09/03 10:45,300,ON_TIME,airport-08,airport-09,aircraft-08,flight-03,false
leg-07,RYX4001,2024/09/04 13:00,2024/09/04 14:30,300,ON_TIME,airport-02,airport-03,aircraft-09,flight-04,true
leg-08,IBX4002,2024/09/04 15:00,2024/09/04 16:30,300,ON_TIME,airport-03,airport-04,aircraft-10,flight-04,true
leg-09,LHX5001,2024/09/05 06:00,2024/09/05 07:30,300,ON_TIME,airport-05,airport-06,aircraft-11,flight-05,false
leg-10,LHX5002,2024/09/05 08:00,2024/09/05 09:30,300,ON_TIME,airport-06,airport-07,aircraft-11,flight-05,false
leg-11,LHX6001,2024/09/06 07:00,2024/09/06 09:00,300,ON_TIME,airport-03,airport-04,aircraft-05,flight-06,true
leg-12,RYX7001,2024/09/07 06:00,2024/09/07 07:30,300,ON_TIME,airport-01,airport-02,aircraft-06,flight-07,false
leg-13,IBX7002,2024/09/07 08:00,2024/09/07 09:00,300,ON_TIME,airport-02,airport-05,aircraft-07,flight-07,false
leg-14,LHX7003,2024/09/07 09:30,2024/09/07 11:00,300,DELAYED,airport-05,airport-06,aircraft-08,flight-07,false
leg-15,RYX8001,2024/09/08 10:00,2024/09/08 11:30,300,ON_TIME,airport-04,airport-07,aircraft-09,flight-08,true
leg-16,IBX8002,2024/09/08 12:00,2024/09/08 13:00,300,ON_TIME,airport-07,airport-08,aircraft-10,flight-08,true
leg-17,LHX8003,2024/09/08 13:30,2024/09/08 15:00,300,ON_TIME,airport-08,airport-09,aircraft-11,flight-08,true
leg-18,IBX9001,2024/09/09 05:30,2024/09/09 07:00,300,ON_TIME,airport-10,airport-01,aircraft-01,flight-09,false
leg-19,LHX9002,2024/09/09 07:30,2024/09/09 09:00,300,ON_TIME,airport-01,airport-04,aircraft-02,flight-09,false
leg-20,RYX9003,2024/09/09 09:30,2024/09/09 11:00,300,ON_TIME,airport-04,airport-06,aircraft-03,flight-09,false
leg-21,IBX1010,2024/09/10 08:00,2024/09/10 09:30,300,ON_TIME,airport-02,airport-03,aircraft-04,flight-10,true
leg-22,LHX1011,2024/09/10 10:00,2024/09/10 11:30,300,ON_TIME,airport-03,airport-05,aircraft-05,flight-10,true
leg-23,RYX1110,2024/09/11 12:00,2024/09/11 13:45,300,ON_TIME,airport-06,airport-07,aircraft-06,flight-11,false
leg-24,IBX1111,2024/09/11 14:15,2024/09/11 16:00,300,DELAYED,airport-07,airport-10,aircraft-07,flight-11,false
leg-25,LHX1210,2024/09/12 07:30,2024/09/12 09:00,300,ON_TIME,airport-03,airport-05,aircraft-08,flight-12,true
leg-26,RYX1211,2024/09/12 09:30,2024/09/12 11:00,300,ON_TIME,airport-05,airport-08,aircraft-09,flight-12,true
leg-27,IBX1310,2024/09/13 10:00,2024/09/13 11:30,300,ON_TIME,airport-04,airport-06,aircraft-10,flight-13,false
leg-28,LHX1311,2024/09/13 12:00,2024/09/13 13:30,300,ON_TIME,airport-06,airport-09,aircraft-11,flight-13,false
